"SUBJECT"	"MEASUREMENT"	"DECADE"	"ORDER"	"RAITING PLACE"	"COUNTRY"	"ACTUAL TIME"	"DELTA"
"RICE"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	1	"UKR"	"1990 : 2000"	2.3922958679999997
"RICE"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	2	"KAZ"	"1990 : 2000"	1.9788519450000002
"RICE"	"TONNE_HA"	"decade [1990..2000]"	"LOWEST"	1	"ARG"	"1990 : 2000"	-0.45010642600000006
"RICE"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	1	"SDN"	"2000 : 2010"	2.2708971499999997
"RICE"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	2	"ARG"	"2000 : 2010"	2.1840425530000003
"RICE"	"TONNE_HA"	"decade [2000..2010]"	"LOWEST"	1	"CHL"	"2000 : 2010"	-0.9227690690000001
"RICE"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	1	"CHL"	"2010 : 2020"	2.0651847919999997
"RICE"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	2	"URY"	"2010 : 2020"	1.197166986
"RICE"	"TONNE_HA"	"decade [2010..2020]"	"LOWEST"	1	"IRN"	"2010 : 2020"	-0.4738108790000002
"RICE"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	1	"EGY"	"2020 : 2025"	0.5656827089999998
"RICE"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	2	"URY"	"2020 : 2025"	0.4512862919999998
"RICE"	"TONNE_HA"	"decade [2020..2025]"	"LOWEST"	1	"CAN"	"2020 : 2025"	0.0
"RICE"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1994 : 2000"	39966.6997
"RICE"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	14590.178800000023
"RICE"	"THND_TONNE"	"decade [1990..2000]"	"LOWEST"	1	"OECD"	"1994 : 2000"	-1322.775370000003
"RICE"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	66129.7353
"RICE"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	16765.86929999999
"RICE"	"THND_TONNE"	"decade [2000..2010]"	"LOWEST"	1	"EGY"	"2000 : 2010"	-1152.9899999999998
"RICE"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	63059.090400000045
"RICE"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	31009.033999999985
"RICE"	"THND_TONNE"	"decade [2010..2020]"	"LOWEST"	1	"OECD"	"2010 : 2020"	-1196.4574299999986
"RICE"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	31631.498399999924
"RICE"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	10628.279900000023
"RICE"	"THND_TONNE"	"decade [2020..2025]"	"LOWEST"	1	"KOR"	"2020 : 2025"	-204.12707600000022
"RICE"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1993 : 2000"	8023.529800000018
"RICE"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	2	"IND"	"1990 : 2000"	2021.9992499999935
"RICE"	"THND_HA"	"decade [1990..2000]"	"LOWEST"	1	"CHN"	"1990 : 2000"	-3069.0
"RICE"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	7733.498300000007
"RICE"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	2	"SSA"	"2000 : 2010"	2846.341088000001
"RICE"	"THND_HA"	"decade [2000..2010]"	"LOWEST"	1	"BRICS"	"2000 : 2010"	-2852.200339999996
"RICE"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	1	"SSA"	"2010 : 2020"	1032.5969879999993
"RICE"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	2	"IDN"	"2010 : 2020"	642.5987100000002
"RICE"	"THND_HA"	"decade [2010..2020]"	"LOWEST"	1	"THA"	"2010 : 2020"	-2178.5296340000004
"RICE"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	1	"SSA"	"2020 : 2025"	874.0140100000008
"RICE"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	2	"WLD"	"2020 : 2025"	588.908299999981
"RICE"	"THND_HA"	"decade [2020..2025]"	"LOWEST"	1	"BRA"	"2020 : 2025"	-172.44384899999977
"WHEAT"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	1	"NZL"	"1990 : 2000"	3.018679884
"WHEAT"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	2	"UKR"	"1990 : 2000"	2.134607584
"WHEAT"	"TONNE_HA"	"decade [1990..2000]"	"LOWEST"	1	"ISR"	"1990 : 2000"	-1.6978023050000002
"WHEAT"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	1	"SAU"	"2000 : 2010"	2.035083771
"WHEAT"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	2	"PRY"	"2000 : 2010"	1.332493186
"WHEAT"	"TONNE_HA"	"decade [2000..2010]"	"LOWEST"	1	"SDN"	"2000 : 2010"	-1.293537379
"WHEAT"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	1	"NZL"	"2010 : 2020"	1.503061519
"WHEAT"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	2	"JPN"	"2010 : 2020"	1.31360579
"WHEAT"	"TONNE_HA"	"decade [2010..2020]"	"LOWEST"	1	"SAU"	"2010 : 2020"	-6.049934221
"WHEAT"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	1	"EGY"	"2020 : 2025"	0.4903834420000006
"WHEAT"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	2	"CHL"	"2020 : 2025"	0.4661846340000002
"WHEAT"	"TONNE_HA"	"decade [2020..2025]"	"LOWEST"	1	"SAU"	"2020 : 2025"	-0.0002501090000000261
"WHEAT"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	1	"KAZ"	"1990 : 2000"	10044.000149966
"WHEAT"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	2	"UKR"	"1990 : 2000"	5148.000204966001
"WHEAT"	"THND_HA"	"decade [1990..2000]"	"LOWEST"	1	"USA"	"1990 : 2000"	-6475.120299999999
"WHEAT"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	5290.4276000000245
"WHEAT"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	2	"KAZ"	"2000 : 2010"	4214.99979
"WHEAT"	"THND_HA"	"decade [2000..2010]"	"LOWEST"	1	"OECD"	"2000 : 2010"	-5676.512560000003
"WHEAT"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	1	"CAN"	"2010 : 2020"	1771.900169999999
"WHEAT"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	2	"IND"	"2010 : 2020"	1594.1793900000011
"WHEAT"	"THND_HA"	"decade [2010..2020]"	"LOWEST"	1	"KAZ"	"2010 : 2020"	-2584.959709999999
"WHEAT"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	750.7891999999993
"WHEAT"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	2	"ARG"	"2020 : 2025"	619.4550850000005
"WHEAT"	"THND_HA"	"decade [2020..2025]"	"LOWEST"	1	"AUS"	"2020 : 2025"	-427.0804500000013
"WHEAT"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1995 : 2000"	40959.62629999989
"WHEAT"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	2	"IND"	"1990 : 2000"	26519.0
"WHEAT"	"THND_TONNE"	"decade [1990..2000]"	"LOWEST"	1	"RUS"	"1990 : 2000"	-15136.108
"WHEAT"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	66740.6370000001
"WHEAT"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	30476.405999999988
"WHEAT"	"THND_TONNE"	"decade [2000..2010]"	"LOWEST"	1	"CAN"	"2000 : 2010"	-3235.9000000000015
"WHEAT"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	101629.96759999997
"WHEAT"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	50151.527
"WHEAT"	"THND_TONNE"	"decade [2010..2020]"	"LOWEST"	1	"USA"	"2010 : 2020"	-3804.2503399999987
"WHEAT"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	37379.703099999926
"WHEAT"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	11535.66479999997
"WHEAT"	"THND_TONNE"	"decade [2020..2025]"	"LOWEST"	1	"CHE"	"2020 : 2025"	-4.0277633000000606
"MAIZE"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	1	"SAU"	"1990 : 2000"	8.25
"MAIZE"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	2	"KAZ"	"1990 : 2000"	3.2924332919999997
"MAIZE"	"TONNE_HA"	"decade [1990..2000]"	"LOWEST"	1	"ISR"	"1990 : 2000"	-12.380952477
"MAIZE"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	1	"BGD"	"2000 : 2010"	5.8350045680000004
"MAIZE"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	2	"URY"	"2000 : 2010"	3.962797404
"MAIZE"	"TONNE_HA"	"decade [2000..2010]"	"LOWEST"	1	"SAU"	"2000 : 2010"	-4.916666508
"MAIZE"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	1	"ISR"	"2010 : 2020"	7.607701087000001
"MAIZE"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	2	"TUR"	"2010 : 2020"	2.9731174630000003
"MAIZE"	"TONNE_HA"	"decade [2010..2020]"	"LOWEST"	1	"IRN"	"2010 : 2020"	-3.057068245
"MAIZE"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	1	"CHL"	"2020 : 2025"	0.9281191599999996
"MAIZE"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	2	"TUR"	"2020 : 2025"	0.773547129999999
"MAIZE"	"TONNE_HA"	"decade [2020..2025]"	"LOWEST"	1	"NOR"	"2020 : 2025"	0.0
"MAIZE"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	1	"USA"	"1990 : 2000"	50323.90220000001
"MAIZE"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	22288.809999999998
"MAIZE"	"THND_TONNE"	"decade [1990..2000]"	"LOWEST"	1	"NGA"	"1990 : 2000"	-1661.0
"MAIZE"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	260621.1729
"MAIZE"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	107535.06299999997
"MAIZE"	"THND_TONNE"	"decade [2000..2010]"	"LOWEST"	1	"CHE"	"2000 : 2010"	-34.0
"MAIZE"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	222083.54949999996
"MAIZE"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	99946.5062
"MAIZE"	"THND_TONNE"	"decade [2010..2020]"	"LOWEST"	1	"EGY"	"2010 : 2020"	-821.2589939999998
"MAIZE"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	70904.8600000001
"MAIZE"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	26559.60340000002
"MAIZE"	"THND_TONNE"	"decade [2020..2025]"	"LOWEST"	1	"CHE"	"2020 : 2025"	-2.2297727000000123
"MAIZE"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	1	"OECD"	"1993 : 2000"	4181.654730000002
"MAIZE"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	2	"SSA"	"1990 : 2000"	2457.368920000001
"MAIZE"	"THND_HA"	"decade [1990..2000]"	"LOWEST"	1	"DZA"	"1990 : 2000"	-2221.222259983
"MAIZE"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	25691.422300000006
"MAIZE"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	12239.217419999994
"MAIZE"	"THND_HA"	"decade [2000..2010]"	"LOWEST"	1	"EU28"	"2000 : 2010"	-1453.8289999999997
"MAIZE"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	18285.142300000007
"MAIZE"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	8678.556480000007
"MAIZE"	"THND_HA"	"decade [2010..2020]"	"LOWEST"	1	"ZAF"	"2010 : 2020"	-241.27716699999974
"MAIZE"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	1854.3856999999844
"MAIZE"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	2	"SSA"	"2020 : 2025"	1419.2052399999993
"MAIZE"	"THND_HA"	"decade [2020..2025]"	"LOWEST"	1	"CHN"	"2020 : 2025"	-485.3061600000001
"SOYBEAN"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	1	"EGY"	"1990 : 2000"	2.7908914510000002
"SOYBEAN"	"TONNE_HA"	"decade [1990..2000]"	"HIGHEST"	2	"URY"	"1990 : 2000"	1.166666667
"SOYBEAN"	"TONNE_HA"	"decade [1990..2000]"	"LOWEST"	1	"TUR"	"1990 : 2000"	-0.6666666269999999
"SOYBEAN"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	1	"TUR"	"2000 : 2010"	2.6666666269999997
"SOYBEAN"	"TONNE_HA"	"decade [2000..2010]"	"HIGHEST"	2	"VNM"	"2000 : 2010"	1.230556222
"SOYBEAN"	"TONNE_HA"	"decade [2000..2010]"	"LOWEST"	1	"EGY"	"2000 : 2010"	-2.3197698640000004
"SOYBEAN"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	1	"MEX"	"2010 : 2020"	0.8778424659999999
"SOYBEAN"	"TONNE_HA"	"decade [2010..2020]"	"HIGHEST"	2	"URY"	"2010 : 2020"	0.8663549430000002
"SOYBEAN"	"TONNE_HA"	"decade [2010..2020]"	"LOWEST"	1	"MOZ"	"2010 : 2020"	-0.999099035
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	1	"TUR"	"2020 : 2025"	0.31526673800000005
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"HIGHEST"	2	"EGY"	"2020 : 2025"	0.274113684
"SOYBEAN"	"TONNE_HA"	"decade [2020..2025]"	"LOWEST"	1	"ETH"	"2020 : 2025"	-0.0023713739999999817
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"HIGHEST"	1	"NZL"	"1970 : 1980"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"HIGHEST"	2	"NONE"	"NONE"	"NONE"
"SOYBEAN"	"THND_TONNE"	"decade [1970..1980]"	"LOWEST"	1	"NZL"	"1970 : 1980"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"HIGHEST"	1	"NZL"	"1980 : 1990"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"HIGHEST"	2	"NONE"	"NONE"	"NONE"
"SOYBEAN"	"THND_TONNE"	"decade [1980..1990]"	"LOWEST"	1	"NZL"	"1980 : 1990"	0.0
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1995 : 2000"	37242.8774
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	23892.98
"SOYBEAN"	"THND_TONNE"	"decade [1990..2000]"	"LOWEST"	1	"MEX"	"1990 : 2000"	-472.6
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	100590.92610000001
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	41495.8882
"SOYBEAN"	"THND_TONNE"	"decade [2000..2010]"	"LOWEST"	1	"CHN"	"2000 : 2010"	-327.0
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	88817.24190000002
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	46784.294299999994
"SOYBEAN"	"THND_TONNE"	"decade [2010..2020]"	"LOWEST"	1	"CHN"	"2010 : 2020"	-2373.7470599999997
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	42573.1593
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	24602.187200000015
"SOYBEAN"	"THND_TONNE"	"decade [2020..2025]"	"LOWEST"	1	"JPN"	"2020 : 2025"	-1.6271925000000067
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	1	"WLD"	"1995 : 2000"	11597.874790000002
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"HIGHEST"	2	"BRICS"	"1990 : 2000"	6852.667939999999
"SOYBEAN"	"THND_HA"	"decade [1990..2000]"	"LOWEST"	1	"IDN"	"1990 : 2000"	-543.198975
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	1	"WLD"	"2000 : 2010"	29445.75688
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"HIGHEST"	2	"BRICS"	"2000 : 2010"	13439.050009999999
"SOYBEAN"	"THND_HA"	"decade [2000..2010]"	"LOWEST"	1	"CHN"	"2000 : 2010"	-790.0
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	1	"WLD"	"2010 : 2020"	25723.2745
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"HIGHEST"	2	"BRICS"	"2010 : 2020"	15777.182290000004
"SOYBEAN"	"THND_HA"	"decade [2010..2020]"	"LOWEST"	1	"CHN"	"2010 : 2020"	-1866.0538230000002
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	1	"WLD"	"2020 : 2025"	8975.436900000015
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"HIGHEST"	2	"BRICS"	"2020 : 2025"	6284.784749999999
"SOYBEAN"	"THND_HA"	"decade [2020..2025]"	"LOWEST"	1	"USA"	"2020 : 2025"	-253.79376999999658
